"id","nb_follower","nb_following","verified","reputation","age","nb_tweets","posted_at","text","length","orthographe","nb_urls","nb_hashtag","nb_emoji","named_id","type","spam"
1095597524281380869,390,176,0,0.69,3422,18568,"08:16:19","@Pierlolo Mine radieuse hier soir. Yeux collés, cheveux mouillés et air aimable ce matin.",89,0.88,0,0,1,0,conversation,True
1095597541062819840,91,92,0,0.50,169,5432,"08:16:23","Jurez ils ont gagné à Man Utd avec ça ?",39,0.80,0,0,1,0,conversation,True
1095597557848461313,57,243,0,0.19,178,4740,"08:16:27","@cinnamonfraize à ce qu'il paraît, c'est ton Fraizanniversaire. Bisouuuuus😙",75,0.50,0,0,2,1,conversation,True
1095597570422919168,11,206,0,0.05,1395,781,"08:16:30","@BFMTV ouf....on est sauvés",27,0.83,0,0,1,0,conversation,True
1095597595597123586,371,708,0,0.34,1166,2523,"08:16:36","Les équipes @SourcingDirs2s seront présentes au salon #Studyrama de Montpellier ce samedi. Venez avec vos #CVs et d… https://t.co/a8dUUCMAoN",140,0.65,1,2,1,0,publicité,True
1095597612365959168,174,319,0,0.35,1623,62711,"08:16:40","madame s'il vous plaît une chance",33,0.86,0,0,1,0,conversation,True
1095597624957304832,78,27,0,0.74,2874,3308,"08:16:43","Pas pu aller travailler hier, 35 minutes en retard aujourd'hui. Merci le #RERB et merci aux décideurs tous autant q… https://t.co/MhE9paPEXj",140,0.80,1,1,1,0,conversation,True
1095597637535977472,172,3742,0,0.04,2478,21213,"08:16:46","@W9 Merci",9,0.50,0,0,1,0,conversation,True
1095597675259613184,2854,782,0,0.78,451,46413,"08:16:55","Mon petit plaisir c'est de voir les gosses des autres faire des conneries.
Mélange de solidarité avec les parents,… https://t.co/MFFD3OpDdT",139,0.84,1,0,1,1,conversation,True
1095597708822355968,387,233,0,0.62,2677,17301,"08:17:03","ptdr j’ai trouvé un remède pour la confiance en soi, c’est cadeau 😚 https://t.co/ccAWBD8KFA",91,0.65,0,0,2,1,conversation,True
1095597713012416514,326,41,0,0.89,1949,19401,"08:17:04","Hausse des prix de l'électricité de 5,9% : le gouvernement joue la montre https://t.co/bpDewl2v9v https://t.co/fSwP25AIWp",121,0.71,1,0,1,0,actualité,False
1095597721401085952,218,240,0,0.48,1872,9517,"08:17:06","Je me suis rasé y a quatre jours et j’ai toujours pas une barbe de trois jours , c’est inacceptable",99,0.86,0,0,1,0,conversation,True
1095597725603762176,30,278,0,0.10,1054,410,"08:17:07","Bonjour les parisiens, n'oubliez pas que les matchs retour peuvent être difficiles ! Bonne journée",98,0.82,0,0,1,0,conversation,True
1095597746554355712,354,351,0,0.50,1223,43565,"08:17:12","Trouver les responsables de l'abus de Goku
Je ne veux pas de ces images dans mon pays, cela me fait mal que les gen… https://t.co/8zmt0JvTw2",140,0.79,1,0,1,1,conversation,True
1095597838837268480,1156,810,0,0.59,2397,58693,"08:17:34","Boffum",6,0.00,0,0,1,0,conversation,True
1095597855618842624,632,1104,0,0.36,782,1828,"08:17:38","[PENSEES] Courant de ces dernières années, il a fallu que je prenne des décisions difficiles pour me protéger des "… https://t.co/0zaJ6VmALw",140,0.76,1,0,1,0,conversation,True
1095597859808862208,249,439,0,0.36,2463,18930,"08:17:39","@EllaSawyerBook Ça m'intéresse comme projet ! 

Au passage, j'ai un exemple : Stendhal et la Chartreuse de Parme, e… https://t.co/MuHVDzyGRT",140,0.58,1,0,1,1,conversation,True
1095597872408682496,0,1,0,0.00,45,169,"08:17:42","Découvrez comment se créer un capital santé et vivre une vie meilleure grâce à https://t.co/DVOcvD4Mzy. https://t.co/Gy3p21tlJN",127,0.88,2,0,1,0,publicité,True
1095597889190092800,217,249,0,0.47,1353,874,"08:17:46","@JobCenter91448 Ja moin",23,0.00,0,0,1,1,conversation,True
1095597910136360960,36,1108,0,0.03,146,170,"08:17:51","@barbarapompili @Le_Figaro Salut coucou comment allez  vous? Est ce que l'on peut fait connaissance?",100,0.72,0,0,1,0,conversation,True
1095597918550138880,187,224,0,0.45,723,2074,"08:17:53","PTNNNNN jviens de me réveiller @marel000 😭😭😭😭😭",46,0.27,0,0,2,2,conversation,True
1095597931133054976,273,341,0,0.44,283,16470,"08:17:56","@Mathiieu_msk 😭 courage champion",32,0.50,0,0,2,1,conversation,True
1095597947901919232,604,736,0,0.45,2450,41270,"08:18:00","@RafikSmati L'Europe a déjà refusé le mariage Alsthom Siemens alors Airbus.....",79,0.69,0,0,1,1,reaction,False
1095597960480673792,235,221,0,0.52,1702,8405,"08:18:03","@CocktailFoot T'es malate min fut ?",35,0.43,0,0,1,1,conversation,True
1095597998220947456,248,142,0,0.64,2448,10428,"08:18:12","@paulo_krm Ducoup je rt",23,0.25,0,0,1,1,conversation,True
1095598014989783040,843,298,0,0.74,2131,72380,"08:18:16","une très belle matinée pour pleurer au réveil sur du whitney houston",68,0.83,0,0,1,0,conversation,True
1095598052738584577,119,128,0,0.48,44,94,"08:18:25","Le 12.02.2019, avec les collaborateurs, nous avons reçu M. Robert Masumbuko @rmasumbuko, Représentant résident de l… https://t.co/iSEWgIuKXq",140,0.62,1,0,1,1,actualité,False
1095598111492325381,187,211,0,0.47,1499,3465,"08:18:39","Bonjour a tous , surtout a ceux qui ont Manger du mancuniens hier soir",70,0.86,0,0,1,0,conversation,True
1095598136624582657,1395,220,0,0.86,3863,8566,"08:18:45","Certifier les données de l'entreprise à l'heure de l'IA et de blockchain https://t.co/fbJTcDM3NI",96,0.62,1,0,1,0,actualité,False
1095598149220122624,527,2985,0,0.15,2196,47598,"08:18:48","@AmanteLilli @MrSirban Exquis délice gourmand",45,0.60,0,0,1,1,conversation,True
1095598153427050498,40,306,0,0.12,73,889,"08:18:49","Nouveau #job : Technicien de maintenance de parcs éoliens - Romilly sur Seine H/F Pour consulter plus d'offres :… https://t.co/WXk9FmH5IL",137,0.60,1,1,1,0,publicité,True
1095598203762851840,216,3642,0,0.06,460,5522,"08:19:01","@WeAreMarmalade Audi",20,0.00,0,0,1,0,conversation,True
1095598203771240449,22,0,0,1.00,78,3659,"08:19:01","@BFMTV @sandrafellous_ Mais alors @EPhilippePM devrait avoir à cœur de dénoncer @TeamMacronPR pour avoir délibéréme… https://t.co/fFV4xWlEUf",140,0.56,1,0,1,1,reaction,False
1095598212155670528,890,207,0,0.81,2819,30523,"08:19:03","@JESUISAROBAZ C'est une blague, je suis pas la voix de la raison",64,0.79,0,0,1,0,conversation,True
1095598224717549568,53,115,0,0.32,758,1650,"08:19:06","@LeJournaldAnais bonjour et bon mercredi @LeJournaldAnais  @anais_baydemir ...🌹🌞",80,0.55,0,0,1,1,conversation,True
1095598228937027585,266,785,0,0.25,256,49169,"08:19:07","Pour terminer Ole devra mettre en place une equipe avec Greenwood si vous voulez vraiment avoir une bonne attaque d… https://t.co/eVATX2RJVi",140,0.77,1,0,1,0,conversation,True
1095598241503154176,2,12,0,0.14,54,34,"08:19:10","@BiondiSylvie J'ai travailler puis j'ai élevé 5 enfants et pour les aides il y a tellement de tracasseries que l'on préfère abandonner",134,0.84,0,0,1,1,conversation,True
1095598245714243584,148,118,0,0.56,1363,21555,"08:19:11","Mais quand je suis en avance j’arrive en retard",47,0.90,0,0,1,0,conversation,True
1095598291818033152,2506,484,0,0.84,2561,13457,"08:19:22","@FJeandinot @Skywilly_GSS Pardon c'etait en rapport au tweet original de Willy sur la foi en l'humanite, pas ta rep… https://t.co/uOzgkqLC8D",140,0.54,1,0,1,0,conversation,True
1095598312793624577,3699,984,0,0.79,1261,120967,"08:19:27","@ChachatAurore Moi je pars du principe que c'est pas parce qu'on aime pas quelqu'un qu'il faut lui souhaiter du mal… https://t.co/ILjVL4SJUZ",140,0.80,1,0,1,1,conversation,True
1095598316988100609,279,299,0,0.48,282,12807,"08:19:28","@roro_frdx @RomainCpe @LeoHerbomel désolé🤷🏼‍♀️",46,0.12,0,0,1,2,conversation,True
1095598316979736576,62,76,0,0.45,68,760,"08:19:28","PAR-FAIT. Me voilà satisfait.",29,0.88,0,0,1,0,conversation,True
1095598375716696064,0,12,0,0.00,1192,182,"08:19:42","@BeyeHabib et emmenes menes avec toi ! lui quand il parle on dirait les  pochtrons du pmu d'en bas: avant MUPSG "sa… https://t.co/w2qiPB3C14",140,0.61,1,0,1,0,conversation,True
1095598384109547520,1196,475,0,0.72,1996,38008,"08:19:44","@Anbadlo Ça va venir ☹️",23,0.50,0,0,2,1,conversation,True
1095598388320657408,1631,383,0,0.81,3445,57787,"08:19:45","@Meriouma016 Bonjour Meriem 😊👋",30,0.20,0,0,3,0,conversation,True
1095598392502378496,874,702,0,0.55,1674,11586,"08:19:46","Les gars vous savez si au bataclan ils autorisent les batteries externes ??",75,0.86,0,0,1,0,conversation,True
1095598396696600577,502,669,0,0.43,893,29688,"08:19:47","@StanGuerini @HoudionE Sans l'ombre d'un doute, sans une seconde d'hésitation. 😃",80,0.56,0,0,2,2,conversation,True
1095598417643012096,155,258,0,0.38,2000,1518,"08:19:52","L’Humanité essentielle au pluralisme !",38,0.67,0,0,1,0,conversation,True
1095598442821373952,3055,4998,0,0.38,3446,12821,"08:19:58","@AStLouv Mais bien sûr j’abuse un peu c’est normal lol. Mais dans le fond je le surkiffe et il est largement meille… https://t.co/vgP3kfOag8",140,0.74,1,0,1,1,conversation,True
1095598442808774656,6,63,0,0.09,892,89,"08:19:58","@FloLevannier @GeraldineNakach @MicheleLaroque @AureAtika Merveilleux film, et merveilleuses actrice, une pensée po… https://t.co/LXCBL5clid",140,0.50,1,0,1,2,conversation,True
1095598451230937088,823,446,0,0.65,3177,18351,"08:20:00","@YongHeda Moi j'y croirais quand elles le diront 😂😂",51,0.64,0,0,2,3,conversation,True
1095598455425298432,44,51,0,0.46,43,966,"08:20:01","Quand les regrets reviennent J'repense et j'tourne en rond Jamais plus je n'te dirai bébé reviens",97,0.84,0,0,1,0,conversation,True
1095598459607007232,8841,153,1,0.98,2410,18251,"08:20:02","Vous avez une carte de donneur d'organes? Présentez-là ce vendredi lors de vos achats aux shops du #GSHC et bénéfic… https://t.co/mmk5bfKSnR",140,0.70,1,1,1,0,publicité,True
1095598467995570178,1640,555,0,0.75,2306,278966,"08:20:04","iPhon : Une conférence Apple prévue pour le 25 mars : focus sur de nouveaux services ? #ActualitéetavisiPhone #Apple https://t.co/hnHvMxuZmj",140,0.50,1,2,1,0,actualité,False
1095598472198275072,644,3960,0,0.14,3281,17849,"08:20:05","@Fournevay @lerenard001 @DuPouvoirDachat Il suffit de regarder les peines pour les chauffards ayant donné la mort",113,0.81,0,0,1,1,reaction,False
1095598497364103169,675,1689,0,0.29,238,24404,"08:20:11","@DukeFleed9 Et on est tjr trop Choupinou!!!😍😍",45,0.44,0,0,2,1,conversation,True
1095598501529075717,171,916,0,0.16,1949,3865,"08:20:12","@jd_philippe @la_Bible Oui, si non l'humanité serait perdu à jamais.",68,0.69,0,0,1,0,conversation,True
1095598522538344448,30,48,0,0.38,139,67,"08:20:17","Une banque de sons gratuits — Enseigner avec le numérique par @speigne https://t.co/VOgasjwa2J via @pearltrees",110,0.73,1,0,1,0,publicité,True
1095598522538311680,1385,2167,0,0.39,3622,39395,"08:20:17","Ville qui "assume sa vocation 26 fois centenaire de rempart contre l'intolérance,"Marseille se dresse contre le ret… https://t.co/WSqYjkXy0g",140,0.76,1,0,1,0,actualité,False
1095598526711676928,794,730,0,0.52,3538,47277,"08:20:18","En robe (que j’avais forcément salie parce que j’aimais pas vraiment coquette et je me roulais partout, dans le sab… https://t.co/BgIJnpSY59",140,0.77,1,0,1,0,conversation,True
1095598530926915584,3,104,0,0.03,190,46,"08:20:19","@JSLefebvre @ContextePouvoir @Contexte Merci et bravo pour votre article !",74,0.60,0,0,1,2,conversation,True
1095598543505670147,1180,1108,0,0.52,356,31710,"08:20:22","Je l'aime ❤❤❤❤",14,0.29,0,0,2,1,conversation,True
1095598547699785728,1464,1917,0,0.43,451,41007,"08:20:23","AaAaa yez dats my maAaaNnnNnnn!!!!!!!!!!!! hihi",47,0.00,0,0,1,0,conversation,True
1095598551860678656,6,0,0,1.00,206,14233,"08:20:24","et puis un steak bois Le Restaurant il y a ERREUR TEMPS EFFACER PAR UNE PERSONNE",80,1.00,0,0,1,0,conversation,True
1095598564452065280,203,166,0,0.55,2056,24309,"08:20:27","@rivarolhebdo Les nazis que vous admirez tant ont largement documenté eux-même leur volonté d'exterminer les Juifs… https://t.co/3eL0ub4A50",139,0.81,1,0,1,1,reaction,False
1095598577051754496,1413,253,0,0.85,608,5277,"08:20:30","🗂✏️ Fribourg-Gottéron 🗂✏️
Pour Fribourg, pas de nouveau joueur, mais un retour de Stalder et un gardien en licence… https://t.co/2D7Nq8Ajff",139,0.50,1,0,1,3,actualité,False
1095598585448726528,140,89,0,0.61,396,1761,"08:20:32","@MartinachePaul Si tout va bien c’est juillet mdrr jnmr",55,0.60,0,0,1,0,conversation,True
1095598627383324674,552,424,0,0.57,1794,21064,"08:20:42","@MaxFulgens @saloperie__ Bah j’ai pas le niveau",47,0.50,0,0,1,1,conversation,True
1095598639966273537,826,224,0,0.79,2275,114063,"08:20:45","@Wailers_WL Mdrrr 9h20...",25,0.25,0,0,1,0,conversation,True
1095598660950224897,14,125,0,0.10,254,110,"08:20:50","@Elida_Almeida15
Née en 1993, dans la ville de Pedra Badejo à Santa Cruz, sur l’île de Santiago au Cap-Vert 🇨🇻
Aute… https://t.co/Aq1x799Fda",140,0.45,1,0,1,2,actualité,False
1095598660950417408,133,388,0,0.26,2953,17076,"08:20:50","T’es où @JoelEmbiid ???",23,0.29,0,0,1,1,conversation,True
1095598677714980865,569,606,0,0.48,2222,49743,"08:20:54","Emmanuel Macron, entrepreneur en démolition nationale https://t.co/taXBhyy19v",77,0.62,1,0,1,0,reaction,False
1095598686111977472,20,211,0,0.09,2348,1855,"08:20:56","Excellent! #AfficheTesRêves #EDS #EDE",37,0.12,0,3,1,0,conversation,True
1095598694500614144,334,223,0,0.60,2350,7911,"08:20:58","on nous apprend qu’il n’y a que deux formes d’amour l’amour et l’amitié",71,0.72,0,0,1,0,conversation,True
1095598715442728960,83,215,0,0.28,279,4769,"08:21:03","@amanda_dezain @unbxtxrd c’est quand même mieux une photo de moi hein",69,0.75,0,0,1,1,conversation,True
1095598732219944960,65,143,0,0.31,98,991,"08:21:07","@Romarie45 @Quentin60313636 @FutePigeon @NathalieLevyNC @BFMTV @YLeBolloch @EmmanuelMacron Qu’on remette à plat not… https://t.co/g5a0pTyZae",140,0.33,1,0,1,3,reaction,False
1095598753225064448,945,523,0,0.64,1656,28832,"08:21:12","@Demonsefarade Ahahaha t’es vraiment à part comme humain",56,0.67,0,0,1,0,conversation,True
1095598765786968064,11,14,0,0.44,231,245,"08:21:15","on est venue au cfa pour avoir cours que ce matin",49,0.91,0,0,1,0,conversation,True
1095598774175576064,269,458,0,0.37,1281,626,"08:21:17","Ouloulou on entend plus personne la 🔴🔵",38,0.62,0,0,1,1,conversation,True
1095598782551654400,1289,218,0,0.86,2453,283865,"08:21:19","j'ai enfin pu la train",22,0.83,0,0,1,0,conversation,True
1095598782555791360,5273,707,0,0.88,3335,26360,"08:21:19","Je suis vraiment content de voir de plus en plus d’illustrations picturales (non flat) dans les identités numérique… https://t.co/i5jQMUDfyF",140,0.78,1,0,1,0,conversation,True
1095598807730057216,29,55,0,0.35,142,228,"08:21:25","« Au lendemain des Assises de la Transition NRJ organisées du 22-24/01/2019 à DK, le président de la Région HdF,… https://t.co/BZytSPqtVu",137,0.65,1,0,1,0,reaction,False
1095598811911729157,1026,397,0,0.72,2449,27487,"08:21:26","ah mtn jlui dis g pecho des gars alors que monsieur me l’avait interdit comme si je lui devait qlqch mdr jsp tu veu… https://t.co/Px1ngPOzGT",140,0.63,1,0,1,0,conversation,True
1095598832879063041,202,61,0,0.77,2373,33439,"08:21:31","@Alex_Crvh2 Oh putain! Oh putain! C'est pas gentil ça",53,0.67,0,0,1,0,conversation,True
1095598837102714880,657,401,0,0.62,1354,86053,"08:21:32","@Kalytis_ @u_psud Alors, le pouvoir du costume ?",48,0.50,0,0,1,0,conversation,True
1095598845491363840,53,49,0,0.52,169,570,"08:21:34","// du coup pour tous ceux avec qui j'avais un rp un cours, il faut me rajouter dans la conv rp avec ce compte + me… https://t.co/j3R85zzNKQ",139,0.73,1,0,1,0,conversation,True
1095598862268547072,1599,1870,0,0.46,1856,5867,"08:21:38","#Argent #Association #Fondation 💰💰💰 Dîner de la @FFREpilepsie Quand la solution contre la maladie passe par la… https://t.co/z8yr5vC9AI",135,0.67,1,3,1,1,publicité,True
1095598866433482752,334,615,0,0.35,1981,19255,"08:21:39","@melvin97one C'est un peu la victoire de Tuchel aussi du coup, pas si évident de le placer la au départ !",105,0.78,0,0,1,0,conversation,True
1095598895831363584,814,139,0,0.85,2560,37332,"08:21:46","Demain c’est la st valentin et j’suis en repos, bref.",53,0.64,0,0,1,0,conversation,True
1095598904203198464,633,177,0,0.78,2848,7947,"08:21:48",""Depuis 5 mois, le Ministre Collin interdit l’accès à la forêt du sud de la Province du Luxembourg pour cause de pe… https://t.co/FH2mdHqFpa",140,0.74,1,0,1,0,reaction,False
1095598912575021056,0,6,0,0.00,23,4,"08:21:50","@Michoucroute_ Michou tu t'es fait clasher c du lourd michou 😂😂",63,0.36,0,0,2,2,conversation,True
1095598912604381184,2230,1118,0,0.67,2894,92903,"08:21:50","@cassandralvzot Mais... :( c'est même pas moi maman pourquoi tu cries toujours sur moi quand les concernés ne sont pas là ! :((",127,0.80,0,0,2,1,conversation,True
1095598929348120587,353,622,0,0.36,1209,18812,"08:21:54","sur la gâchette j’ai parkinson",30,0.83,0,0,1,0,conversation,True
1095598975519023104,273,187,0,0.59,1309,18924,"08:22:05","Tiens ça faisait longtemps que ma mère m'avait pas brisé les ovaires",68,0.92,0,0,1,0,conversation,True
1095598979692326912,138,149,0,0.48,1539,5988,"08:22:06","@elvyndimeglio Mdrrrrr c’est un petit joueur",44,0.57,0,0,1,0,conversation,True
1095599030015610880,150,243,0,0.38,66,866,"08:22:18","Le matin et une bénédiction pour les Musulmans un Imam en parlé. Regardez le matin on sens que c'est une bénédictio… https://t.co/7pO1B9O4HX",140,0.88,1,0,1,1,conversation,True
1095599055198134272,459,327,0,0.58,2325,26732,"08:22:24","Peut-on prendre le car avec une carte de tiers payant ?🤔",56,0.79,0,0,2,0,conversation,True
1095599063582543872,25,33,0,0.43,1838,5576,"08:22:26","@GG_RMC Le gauchisme des profs....tout simplement.ils disent tout le temps non a tout.les avez vous deja entendus d… https://t.co/wfZzgxnO51",140,0.73,1,0,1,0,reaction,False
1095599063586754560,43,130,0,0.25,182,671,"08:22:26","Vous avez le droit de parler de la superbe arret de De Gea face à Mbappé #MUNPSG",80,0.72,0,1,1,0,conversation,True
1095599071992168448,213,297,0,0.42,1580,465,"08:22:28","@100Mercato Putain j'ai cru pendant les 2premières secondes que c'était Sertic avec un nouveau maillot!ascenseur émotionnel!",124,0.63,0,0,1,0,conversation,True
1095599105538228224,329,986,0,0.25,2767,13192,"08:22:36","Mais vivement qu’il soit aux affaires, lui. Il a tout compris.",62,0.87,0,0,1,0,conversation,True
1095599147451863040,113,555,0,0.17,488,554,"08:22:46","@MR_officiel @Sophie_Wilmes On devrai même plaider pour passer de 6 à 4 ans (Une année d'adaptation et d'apprentiss… https://t.co/pfGWc64lE6",140,0.70,1,0,1,1,reaction,False
1095599164250046465,120,117,0,0.51,152,5118,"08:22:50","@Doctor_Why11 @lequipedestelle @Nabil_djellit @lachainelequipe Tu disais?",73,0.29,0,0,1,1,conversation,True
1095599164241707008,676,739,0,0.48,1097,68515,"08:22:50","Le soulèvement qui va se passer ici sera fort👐👐",47,0.82,0,0,2,1,conversation,True
1095599193589276672,25,160,0,0.14,225,258,"08:22:57","Ils l’ont fini en commentaire 😂😂😭",33,0.56,0,0,3,1,conversation,True
1095599206201524225,56,753,0,0.07,455,40920,"08:23:00","K.a.a.m.e.l.o.t.t : « Vous vous prenez pour un enseignant ?... Non j' s'entais que c'était le moment d'faire une va… https://t.co/2wf03NN12F",140,0.63,1,0,1,0,conversation,True
1095599206193160192,24,70,0,0.26,31,92,"08:23:00","@FleurDe24410734 @JacobKowalsk_ @Queenie_Gldstn @theseeoff @PickettOffi @Niffleur1 @naginihumain Jacob j'en ai eu hier",118,0.29,0,0,1,2,conversation,True
1095599206180495361,13,102,0,0.11,2622,770,"08:23:00","@AQuatennens rappelons (et pas un mot dans les médias) que l'extrême droite est plus présente dans les forces de l'… https://t.co/1ucKA8TQEf",140,0.73,1,0,1,1,reaction,False
1095599210378993664,3047,639,0,0.83,264,12373,"08:23:01","@Stayfan18 Mdrrrrr sérieux il est schizo le gars",48,0.62,0,0,1,0,conversation,True
1095599218771877888,100,105,0,0.49,816,285,"08:23:03","Lombalgies chez la PA: une revue systématique montre que les techniq kiné ne permettent pas d’améliorer la douleur… https://t.co/HUvx5Vc9Ei",139,0.73,1,0,1,0,actualité,False
1095599252343046146,266,162,0,0.62,2564,966,"08:23:11","Un grand merci à nos recruteurs @AbsysCyborg  : @Julienrecruteur @AureliePeyriere,  Elie également et à tous nos ca… https://t.co/IJ7p5bXkpI",140,0.64,1,0,1,2,publicité,True
1095599260727459840,10,107,0,0.09,347,345,"08:23:13","@AfricaTopTweet L'armée congolaise est vraiment infiltrée, il n'y a pas moyen de finir avec ces troupes si seulemen… https://t.co/ZKAi5VPOcf",140,0.74,1,0,1,0,reaction,False
1095599264896475136,185,170,0,0.52,3081,326,"08:23:14","Depoparfum https://t.co/xW7AseimVN",34,0.00,1,0,1,0,publicité,True
1095599269120278528,4666,1825,0,0.72,2935,6391,"08:23:15","Les #GiletsJaunes de Commercy saluent la révolution de Rojava. Ne montrez pas cette vidéo au dictateur turc… https://t.co/Mf2qd0XYIG",132,0.76,1,1,1,0,reaction,False
1095599298446872577,57354,381,0,0.99,973,9439,"08:23:22","Quel plaisir de se réveiller et de voir ça ! Vraiment cool de participer au #UMGChallenge de @Cyril_mp4 ! Jsuis rav… https://t.co/MV42h6Wxa1",140,0.67,1,1,1,1,conversation,True
1095599302657916928,72,123,0,0.37,3500,2390,"08:23:23","Comment les manières d'habiter seront influencées par les évolutions des modes de vie ? #habitation https://t.co/E0L6ghbkCv",123,0.78,1,1,1,0,actualité,False
1095599315261755392,145,115,0,0.56,78,2928,"08:23:26","jdor 4h par nuit dps jsp cmb dtemps, pr une f que j’arrive à me rendormir on mreveille, jv grv faire un meurtre jrigole pas",123,0.46,0,0,1,0,conversation,True
1095599332005474305,4528,4991,0,0.48,4302,65245,"08:23:30","Google Chrome veut faciliter le partage d’URL sur smartphone avec un simple bouton https://t.co/UUt8ZAqFYj",106,0.67,1,0,1,0,actualité,False
1095599336220708864,495,619,0,0.44,3083,13587,"08:23:31","@menard2017 Et pourquoi pas 3, 4, 5, etc... alpha et bêta c’est pas mal non plus ... enfin on adore les éléments de… https://t.co/oxs4Pq96iB",140,0.80,1,0,1,1,reaction,False
1095599340427661312,1295,783,0,0.62,1556,23072,"08:23:32","@marg_oh Je l’espère pour toi. On a besoin, fin j’ai besoin surtout, de lire tes avis sur les sorties. 🤷‍♀️",107,0.69,0,0,2,2,conversation,True
1095599348791029760,1871,1001,0,0.65,2483,442984,"08:23:34","Dans le film il s’est fait encore plus humilié",46,0.90,0,0,1,0,conversation,True
1095599348786839552,1467,324,0,0.82,1786,5508,"08:23:34","Sur la conclusion "ON NE LÂCHE RIEN, GJ JUSQU'AU BOUT !" on note que les intéressé-es (qui sont-ils ?) signent en t… https://t.co/wuLXfsRDXS",140,0.62,1,0,1,0,reaction,False
1095599373965320192,1669,128,0,0.93,828,1299,"08:23:40","Être dans l’ordre islamique - faire plaisir à la famille et me tirer de ce monde. (Suis pas la piur me faire aimé p… https://t.co/37VluWbmdh",140,0.79,1,0,1,1,conversation,True
1095599386531377153,6254,704,0,0.90,2550,132455,"08:23:43","@JulineLK Mais je pense woojin va bientôt changer, ça sera tjr woojin mais une autre photo 😁 https://t.co/jCNRF6uVAf",116,0.63,0,0,2,1,conversation,True
1095599407528058882,2163,142,0,0.94,2485,721,"08:23:48","@LinleyBa @JimmyDeuxFois__ @UnArabeRandom C'est très facile à dire "il faut appliquer la législation d' Allah" mais… https://t.co/orMniFtUQn",140,0.50,1,0,1,1,conversation,True
1095599411718164480,25,58,0,0.30,191,295,"08:23:49","@poings_ardents Supprimer tous facebook c’est l’endroit le plus bizarre sur cette terre",87,0.71,0,0,1,0,conversation,True
1095599420106858501,286,189,0,0.60,1162,19170,"08:23:51","@clacla_tata c’est 2,898x10 puissance -3 divisé par T en kelvin aller jvais avoir 20/20",87,0.53,0,0,1,1,conversation,True
